PSRJ,P0,P1
J1111-6039,0.10667,1.95E-13
J1112-6103,0.064961852,3.15E-14
J1112-6613,0.33421384,8.25E-16
J1112-6926,0.820487642,2.82E-15
J1114-6100,0.88085825,4.60E-14
J1115+5030,1.65643976,2.49E-15
J1115-0956,1.31089402,3.47E-17
J1115-6052,0.259779371,7.23E-15
J1116-2444,0.86794888,9.85E-16
J1116-4122,0.943157883,7.95E-15
J1117-6154,0.505097149,1.25E-14
J1117-6447,1.15527196,2.40E-16
J1119-6127,0.407962984,4.02E-12
J1119-7936,2.280597196,3.67E-15
J1121-5444,0.535786514,2.78E-15
J1123-4844,0.244838478,6.54E-17
J1123-6102,0.640233748,6.46E-15
J1123-6259,0.271437312,5.25E-15
J1123-6651,0.232976433,2.75E-15
J1124-3653,0.00241,5.80E-21
J1124-5638,0.185559973,9.00E-18
J1124-5916,0.135476854,7.53E-13
J1124-6421,0.479098585,6.20E-16
J1125+7819,0.004201609,6.94E-21
J1125-5825,0.003102214,6.09E-20
J1125-6014,0.002630381,3.73E-21
J1126-6054,0.202736912,2.81E-16
J1126-6942,0.579418752,3.29E-15
J1128-6219,0.515983511,1.10E-17
J1130-5826,0.162323476,1.59E-17
J1130-5925,0.680983832,9.52E-16
J1130-6807,0.256352799,4.60E-16
J1132-4700,0.32563329,7.77E-16
J1132-5627,0.175166247,6.80E-17
J1133-6250,1.022875141,4.52E-16
J1135-6055,0.114942529,7.93E-14
J1136+1551,1.187913066,3.73E-15
J1136-5525,0.364713249,8.23E-15
J1136-6527,1.189309005,1.75E-15
J1137+7528,0.002512642,3.24E-21
J1137-6700,0.556216056,7.17E-17
J1138-6207,0.117563794,1.25E-14
J1139-6247,0.120481928,4.05E-15
J1141-3107,0.538431789,1.96E-15
J1141-3322,0.291467801,4.65E-16
J1141-6545,0.393898815,4.31E-15
J1142+0119,0.005075298,1.50E-20
J1142-6230,0.558383386,7.79E-17
J1143-5158,0.675646047,6.95E-16
J1143-5536,0.685358486,4.85E-16
J1144-6146,0.987783069,-3.81E-17
J1144-6217,0.850664943,3.08E-14
J1146-6030,0.273374509,1.79E-15
J1148-5725,3.559937232,1.11E-14
J1148-6415,3.241028503,2.70E-15
J1151-6108,0.101633196,1.03E-14
J1152-5800,1.789829466,1.28E-15
J1152-6012,0.376569566,6.69E-15
J1154-6250,0.282011711,5.59E-16
J1156-5707,0.288416774,2.65E-14
J1156-5909,1.037931051,1.02E-15
J1157-5112,0.043589227,1.43E-19
J1157-6224,0.400525717,3.93E-15
J1159-6409,0.667485534,2.40E-17
J1159-7910,0.525074239,2.82E-15
J1201-6306,0.592136029,3.56E-15
J1202-5820,0.452803098,2.13E-15
J1203-6242,0.100603622,4.41E-14
J1204-6843,0.308860862,2.17E-16
J1207-4508,1.769827846,1.56E-15
J1207-5050,0.004842757,6.06E-21
J1208-6238,0.440590724,3.27E-12
J1210-5226,0.424130749,2.22E-17
J1210-5559,0.279767869,7.25E-16
J1210-6322,1.163185714,9.25E-15
J1210-6550,4.237010216,4.31E-16
J1211-6324,0.433083926,2.57E-16
J1214-5830,0.909822701,5.34E-17
J1215-5328,0.636414137,1.15E-16
J1216-6223,0.374053014,1.68E-14
J1216-6410,0.003539376,1.62E-21
J1220-6318,0.789212012,8.03E-17
J1221-0633,0.00193,1.09E-20
J1222-5738,1.081163527,1.50E-16
J1223-5856,0.288541427,5.70E-18
J1224-6208,0.585761208,2.02E-14
J1224-6407,0.216479798,4.95E-15
J1225-5556,1.018452868,2.06E-15
J1225-6035,0.626323942,2.88E-16
J1225-6408,0.419617792,9.46E-16
J1226+0005,2.28507617,2.47E-15
J1226-3223,6.193004085,7.05E-15
J1227-4853,0.001686375,1.11E-20
J1227-6208,0.034527835,1.87E-19
J1231-1411,0.003683879,2.28E-20
J1231-4609,0.877239078,3.80E-17
J1231-5113,0.20661157,1.17E-16
J1231-6303,1.351236393,1.32E-16
J1231-6511,0.247524752,2.84E-14
J1232-4742,1.872994377,1.40E-17
J1232-6501,0.088281908,8.11E-19
J1233-6312,0.564759389,6.92E-15
J1233-6344,0.756891934,3.88E-15
J1234-3630,0.569242225,8.66E-16
J1235-6354,0.256777653,1.97E-16
J1236-0159,3.597573597,5.10E-15
J1236-5033,0.294759771,1.56E-16
J1237-6725,2.110974118,2.19E-15
J1238+2152,1.118590689,1.45E-15
J1239+2453,1.382449103,9.60E-16
J1239-6832,1.30192253,1.19E-14
J1240-4124,0.512242093,1.74E-15
J1243-5735,0.471224878,8.00E-17
J1243-6423,0.388485127,4.49E-15
J1244-1812,3.425323707,1.48E-15
J1244-5053,0.275207111,1.00E-15
J1244-6359,0.14727431,4.40E-18
J1244-6531,1.54681894,7.18E-15
J1245-6238,2.283093351,1.09E-14
J1246+2253,0.473870558,8.89E-17
J1248-6344,0.198335136,1.69E-14
J1248-6444,1.234893494,1.93E-15
J1249-6507,0.434444873,1.21E-17
J1251-7407,0.327057738,3.65E-16
J1252-6314,0.823339271,1.08E-16
J1253-5820,0.255496327,2.10E-15
J1254-6150,0.184502203,6.24E-16
J1255-6131,0.65797363,4.00E-15
J1257-1027,0.61730767,3.63E-16
J1259-6741,0.663330115,8.55E-16
J1300+1240,0.006218532,1.14E-19
J1300-6602,1.143315842,3.35E-16
J1301-6305,0.184528095,2.67E-13
J1301-6310,0.663829648,5.64E-14
J1302-3258,0.00377,6.55E-21
J1302-6313,0.967846213,6.33E-15
J1302-6350,0.047762508,2.28E-15
J1303-6305,2.306641554,2.18E-15
J1305-6203,0.427773663,3.22E-14
J1305-6256,0.478230933,2.11E-15
J1305-6455,0.57165179,4.03E-15
J1306-6242,0.981902118,5.86E-15
J1306-6617,0.4730278,5.98E-15
J1307-6318,4.962427253,2.11E-14
J1308+2127,10.31252206,1.12E-13
J1308-4650,1.058833044,5.26E-16
J1308-5844,0.464699749,8.64E-15
J1309-6415,0.619453557,8.79E-15
J1309-6526,0.398292163,1.84E-17
J1311-1228,0.447517711,1.51E-16
J1311-3430,0.002560371,2.10E-20
J1312+0051,0.004228019,1.75E-20
J1312-5402,0.728154394,1.47E-16
J1312-5516,0.849242597,5.70E-15
J1312-6400,2.437432496,6.83E-16
J1313+0931,0.848932751,8.00E-16
J1314-6101,2.948389604,1.17E-14
J1316-6232,0.342825398,5.30E-15
J1317-5759,2.642198513,1.26E-14
J1317-6302,0.261270556,1.02E-16
J1319-6056,0.284352672,1.53E-15
J1319-6105,0.421118114,1.50E-15
J1320-3512,0.458488407,1.90E-18
J1320-5359,0.279737683,9.25E-15
J1321+8323,0.670037418,5.66E-16
J1321-5922,1.279057595,2.37E-15
J1322-6241,0.506058414,2.59E-15
J1322-6329,2.764209421,1.11E-14
J1324-6146,0.844108575,5.58E-15
J1324-6302,2.483803693,9.79E-16
J1326-4728A,0.004108786,2.70E-20
J1326-4728B,0.004791869,2.76E-20
J1326-5859,0.477993613,3.24E-15
J1326-6408,0.792673877,3.09E-15
J1326-6700,0.543015041,5.33E-15
J1327-0755,0.002677923,1.77E-21
J1327-6222,0.529929187,1.88E-14
J1327-6301,0.196479945,1.53E-15
J1327-6400,0.280677974,3.12E-14
J1328-4357,0.532698803,3.01E-15
J1328-4921,1.478721356,6.10E-16
J1329-6158,1.565217964,3.39E-14
J1331-5245,0.648116647,5.10E-16
J1332-3032,0.650434491,5.60E-16
J1333-4449,0.345602949,5.40E-19
J1334-5839,0.107718216,2.16E-17
J1335-5656,0.003237713,1.21E-20
J1336-2522,0.478145483,3.31E-16
J1337-4441,1.257511493,3.03E-16
J1337-6306,0.207953012,3.56E-16
J1337-6423,0.009423407,2.47E-20
J1338-6204,1.239000579,1.38E-14
J1339-4712,0.137054658,5.30E-19
J1339-6618,0.558179222,3.50E-16
J1340-6456,0.378622066,5.05E-15
J1341-6023,0.627285366,1.95E-14
J1341-6220,0.193339746,2.53E-13
J1342+2822B,0.002389421,1.86E-20
J1343+6634,1.394103786,1.09E-15
J1344-5855,0.252397929,2.91E-15
J1344-6059,0.540102321,4.30E-17
J1345-6115,1.25308459,3.25E-15
J1346-4918,0.299625107,3.50E-17
J1347-5947,0.609961754,1.42E-14
J1348-6307,0.927772239,3.79E-15
J1349-6130,0.259364764,5.12E-15
J1350-5115,0.295699706,7.58E-16
J1350-6225,0.138157778,8.88E-15
J1352-6803,0.628902546,1.23E-15
J1354-6249,2.951938334,1.48E-14
J1355-5153,0.644304508,2.81E-15
J1355-5747,2.038673825,7.15E-16
J1355-5925,1.213381227,5.99E-15
J1355-6206,0.276603043,3.10E-18
J1356-5521,0.507379567,7.24E-16
J1357-6429,0.166108328,3.60E-13
J1358-6025,0.060532688,3.02E-15
J1359-6038,0.127508466,6.33E-15
J1400-1431,0.003084233,7.23E-21
J1400-6325,0.031181601,3.89E-14
J1401-6357,0.842805322,1.68E-14
J1402+13,0.00589,4.83E-17
J1402-5021,1.380182295,5.41E-15
J1403-6310,0.399170177,9.00E-17
J1403-7646,1.306197812,1.20E-15
J1404+1159,2.650439299,1.38E-15
J1405-4656,0.007602203,2.79E-20
J1405-5641,0.617574685,1.20E-15
J1406-4233,2.436795432,6.81E-16
J1406-5806,0.288349244,6.11E-16
J1406-6121,0.213074654,5.47E-14
J1407-6048,0.492344207,3.16E-15
J1407-6153,0.701614949,8.85E-15
J1409-6953,0.528590779,8.40E-16
J1410-6132,0.050051946,3.20E-14
J1410-7404,0.278729444,6.74E-18
J1411+2551,0.062452896,9.56E-20
J1412+7922,0.058199071,3.29E-15
J1412-6111,0.529156398,1.91E-15
J1412-6145,0.315258433,9.90E-14
J1413-6141,0.28562462,3.33E-13
J1413-6205,0.1097407,2.77E-14
J1413-6222,0.292407702,2.23E-15
J1413-6307,0.394945791,7.43E-15
J1414-6802,4.630188062,6.39E-15
J1415-6621,0.392478973,5.80E-16
J1416-5033,0.794882546,1.20E-16
J1416-6037,0.295580482,4.28E-15
J1418-3921,1.096806003,8.89E-16
J1418-5945,1.672595681,2.71E-16
J1418-6058,0.110573012,1.69E-13
J1420-5416,0.935772205,2.32E-16
J1420-5625,0.034117131,6.75E-20
J1420-6048,0.068179877,8.32E-14
J1421-4409,0.006385729,1.24E-20
J1422-6138,0.340967852,9.68E-14
